word	parts
asian	adj|n
aside	adj|adv|n
asinine	adj
ask	n|v
askance	adj|adv|v
askew	adj|adv|n
asleep	adj
asparagus	n
aspect	n|v
aspen	adj|n
asperity	n
aspersion	n
asphalt	n|v
asphyxia	n
asphyxiate	v
aspirant	adj|n
aspiration	n
aspire	v
aspirin	n
aspiring	adj|n|v
ass	adj|n|phrase
assail	v
assassin	n|v
assassinate	n|v
assassination	n
assault	n|v
assay	n|v
assemblage	n
assemble	v
assembly	n
assent	n|v
assert	n|v
assertive	adj
assertiveness	n
assess	v
assessment	n
asset	n
assiduous	adj
assign	n|v
assignment	n
assignments	n
assimilate	adj|n|v
assimilation	n
assist	n|v
assistance	n
assistant	adj|n
assistantship	n
associate	adj|n|v
association	n
assorted	adj|v
assortment	n
assuage	v
assume	v
assumption	n
assurance	n
assure	v
assured	adj|n|v
assuredly	adv
asterisk	n|v
asteroid	n
asthma	n
astigmatic	adj|n
astonish	v
astonished	adj|v
astonishing	adj|v
astonishment	n
astound	adj|v
astounding	adj|v
astray	adv
astringent	adj|n
astrolabe	n
astrology	n
astronaut	n
astronomer	n
astronomical	adj
astronomy	n
astute	adj
asunder	adj|adv|v
asylum	n|v
asymmetric	adj
asymmetrical	adj
at	adj|n|prep|pron|v
atheism	n
atheist	adj|n|v
athens	n
athlete	n
athletic	adj|n
athletics	n
atlantic	adj|n
atlas	n
atmosphere	n
atmospheric	adj
atom	n
atomic	adj|n
atomization	n
atonal	adj
atone	v
atrocious	adj
atrocity	n
atrophy	n|v
attach	v
attached	adj|v
attachment	n
attack	adj|n|v
attacks	n|v
attain	n|v
attainment	n
attempt	n|v
attempts	n|v
attend	v
attendance	n
attendant	adj|n
attent	adj|n
attention	interj|n
attentive	adj
attentively	adv
attenuate	adj|v
attest	v
attic	adj|n
attire	n|v
attitude	n|v
attorney	n|v
attract	v
attraction	n
attractive	adj
attribute	n|v
attrition	n|v
attune	v
auction	n|v
audacious	adj
audible	adj|n|v
audience	n
audio	adj|n
audit	n|v
audition	n|v
auditor	n
auditorium	n
auditory	adj|n
auger	n|v
augment	n|v
augmentation	n
augur	n|v
augury	n
august	adj|n|v
aunt	n
aura	n
aural	adj
aureole	n|v
auricular	adj|n
aurora	n
auspice	n|v
auspices	n
auspicious	adj
austere	adj
austerity	n
australia	n
australian	adj|n
authentic	adj
authenticate	adj|v
authenticity	n
author	n|v
authoritarian	adj|n
authoritative	adj
authority	n
authorization	n
authorize	v
auto	adj|n|v
autobiographical	adj
autobiography	n
autocracy	n
autocrat	n
automate	v
automated	adj|v
automatic	adj|n
automatically	adv
automation	n
automobile	adj|n|v
automotive	adj|n
autonomous	adj
autonomy	n
autopsy	n|v
autumn	adj|n|v
auxiliary	adj|n
avail	adj|n|v
availability	n
available	adj
avalanche	n|v
avant-garde	adj|n
avarice	n
avaricious	adj
avenge	n|v
avenue	n
aver	n|v
average	adj|n|v
averse	adj|v
aversion	n
avert	v
aviary	n
aviation	n
aviator	n
avid	adj
avocation	n
avocational	adj
avoid	v
avoidable	adj|n
avoidance	n
avouch	n|v
avow	n|v
avowal	n
avuncular	adj
await	n|v
awake	adj|v
award	n|v
aware	adj|v
awareness	n
away	adj|adv|interj|v
awe	n|v
awe-inspiring	adj|v
awesome	adj|n
awful	adj|adv|n
awfully	adv
awkward	adj|n
awkwardly	adv
awl	adj|n
awning	n
awry	adj|adv
ax	n|v
axe	n|v
axial	adj|n
axiom	n
axis	n
axle	n
azure	adj|n|v
b.c.	adv|n
babble	n|v
baboon	n
baby	adj|n|v
baby-sitter	n
bacchanal	adj|n
bachelor	n
back	adj|adv|n|v
backache	n
backbone	n
backdrop	n|v
background	adj|n|v
backhanded	adj|adv|v
backpack	n|v
backset	n|v
backslide	n|v
backward	adj|adv|n|v
backwater	n|v
bacon	n
bacteria	n
